invoice,sku_code,description,qty,invoice_date,unit_price,customer_id,country,transaction_type,revenue_amount,customer_status
536779,BANK CHARGES,Bank Charges,1,02-12-2010,15,15823,United Kingdom,Positive,15,Registered
C537572,BANK CHARGES,Bank Charges,-1,07-12-2010,95.38,NA,United Kingdom,Return,-95.38,Guest/Unknown
C538680,BANK CHARGES,Bank Charges,-1,13-12-2010,966.92,NA,United Kingdom,Return,-966.92,Guest/Unknown
541505,BANK CHARGES,Bank Charges,1,30-01-2011,15,15939,United Kingdom,Positive,15,Registered
C541653,BANK CHARGES,Bank Charges,-1,31-01-2011,1050.15,NA,United Kingdom,Return,-1050.15,Guest/Unknown
C544049,BANK CHARGES,Bank Charges,-1,21-03-2011,566.37,NA,United Kingdom,Return,-566.37,Guest/Unknown
C544575,BANK CHARGES,Bank Charges,-1,24-03-2011,134.76,NA,United Kingdom,Return,-134.76,Guest/Unknown
C544576,BANK CHARGES,Bank Charges,-1,24-03-2011,149.16,NA,United Kingdom,Return,-149.16,Guest/Unknown
C544584,BANK CHARGES,Bank Charges,-1,24-03-2011,109.84,NA,United Kingdom,Return,-109.84,Guest/Unknown
C545887,BANK CHARGES,Bank Charges,-1,18-04-2011,326.68,NA,United Kingdom,Return,-326.68,Guest/Unknown
C546943,BANK CHARGES,Bank Charges,-1,13-05-2011,56.93,NA,United Kingdom,Return,-56.93,Guest/Unknown
549717,BANK CHARGES,Bank Charges,1,20-06-2011,15,14606,United Kingdom,Positive,15,Registered
C550932,BANK CHARGES,Bank Charges,-1,13-07-2011,475.69,NA,United Kingdom,Return,-475.69,Guest/Unknown
551945,BANK CHARGES,Bank Charges,1,19-07-2011,15,16714,United Kingdom,Positive,15,Registered
C552458,BANK CHARGES,Bank Charges,-1,24-07-2011,440.29,NA,United Kingdom,Return,-440.29,Guest/Unknown
C553511,BANK CHARGES,Bank Charges,-1,17-08-2011,86.9,NA,United Kingdom,Return,-86.9,Guest/Unknown
C553528,BANK CHARGES,Bank Charges,-1,17-08-2011,82.73,NA,United Kingdom,Return,-82.73,Guest/Unknown
C556874,BANK CHARGES,Bank Charges,-1,22-09-2011,464.52,NA,United Kingdom,Return,-464.52,Guest/Unknown
C558349,BANK CHARGES,Bank Charges,-1,30-09-2011,82.89,NA,United Kingdom,Return,-82.89,Guest/Unknown
C560823,BANK CHARGES,Bank Charges,-1,28-10-2011,21.9,NA,United Kingdom,Return,-21.9,Guest/Unknown
C563535,BANK CHARGES,Bank Charges,-1,20-11-2011,612.46,NA,United Kingdom,Return,-612.46,Guest/Unknown
C564494,BANK CHARGES,Bank Charges,-1,23-11-2011,83.83,NA,United Kingdom,Return,-83.83,Guest/Unknown
C564498,BANK CHARGES,Bank Charges,-1,23-11-2011,77.63,NA,United Kingdom,Return,-77.63,Guest/Unknown
565735,BANK CHARGES,Bank Charges,1,29-11-2011,15,16904,United Kingdom,Positive,15,Registered
C567136,BANK CHARGES,Bank Charges,-1,16-09-2011,366.27,NA,United Kingdom,Return,-366.27,Guest/Unknown
568375,BANK CHARGES,Bank Charges,1,26-09-2011,15,13405,United Kingdom,Positive,15,Registered
568375,BANK CHARGES,Bank Charges,1,26-09-2011,0,13405,United Kingdom,Positive,0,Registered
C570454,BANK CHARGES,Bank Charges,-1,23-10-2011,472.77,NA,United Kingdom,Return,-472.77,Guest/Unknown
C570463,BANK CHARGES,Bank Charges,-1,23-10-2011,49.65,NA,United Kingdom,Return,-49.65,Guest/Unknown
571900,BANK CHARGES,Bank Charges,1,31-10-2011,15,13263,United Kingdom,Positive,15,Registered
C572346,BANK CHARGES,Bank Charges,-1,14-11-2011,49.65,NA,United Kingdom,Return,-49.65,Guest/Unknown
573586,BANK CHARGES,Bank Charges,1,20-11-2011,15,14704,United Kingdom,Positive,15,Registered
574546,BANK CHARGES,Bank Charges,1,23-11-2011,15,13651,United Kingdom,Positive,15,Registered
C577342,BANK CHARGES,Bank Charges,-1,18-11-2011,490.06,NA,United Kingdom,Return,-490.06,Guest/Unknown
C577343,BANK CHARGES,Bank Charges,-1,18-11-2011,27.21,NA,United Kingdom,Return,-27.21,Guest/Unknown
579137,BANK CHARGES,Bank Charges,1,28-11-2011,15,14704,United Kingdom,Positive,15,Registered
581127,BANK CHARGES,Bank Charges,1,07-12-2011,15,16271,United Kingdom,Positive,15,Registered
