invoice,description,qty,invoice_date,unit_price,customer_id,country,discount_amount,transaction_type,revenue_amount,customer_status
C536379,Discount,-1,2010-12-01,27.50,14527,United Kingdom,-27.50,Return,-27.50,Registered
C537164,Discount,-1,2010-12-05,29.29,14527,United Kingdom,-29.29,Return,-29.29,Registered
C537597,Discount,-1,2010-12-07,281.00,15498,United Kingdom,-281.00,Return,-281.00,Registered
C537857,Discount,-1,2010-12-08,267.12,17340,United Kingdom,-267.12,Return,-267.12,Registered
C538897,Discount,-1,2010-12-15,5.76,16422,United Kingdom,-5.76,Return,-5.76,Registered
C538897,Discount,-1,2010-12-15,42.50,16422,United Kingdom,-42.50,Return,-42.50,Registered
C539003,Discount,-1,2010-12-15,26.93,14527,United Kingdom,-26.93,Return,-26.93,Registered
C539589,Discount,-1,2010-12-20,13.88,14527,United Kingdom,-13.88,Return,-13.88,Registered
C540171,Discount,-1,2011-01-14,22.97,14527,United Kingdom,-22.97,Return,-22.97,Registered
C543752,Discount,-1,2011-03-18,64.27,14031,United Kingdom,-64.27,Return,-64.27,Registered
C543758,Discount,-1,2011-03-18,65.91,15299,United Kingdom,-65.91,Return,-65.91,Registered
C543789,Discount,-1,2011-03-18,84.80,17450,United Kingdom,-84.80,Return,-84.80,Registered
C543840,Discount,-1,2011-03-20,70.01,14527,United Kingdom,-70.01,Return,-70.01,Registered
C545476,Discount,-1,2011-04-14,30.38,14527,United Kingdom,-30.38,Return,-30.38,Registered
C545478,Discount,-720,2011-04-14,0.01,16422,United Kingdom,-7.20,Return,-7.20,Registered
C546106,Discount,-1,2011-04-19,9.87,14527,United Kingdom,-9.87,Return,-9.87,Registered
C548411,Discount,-1,2011-05-26,162.24,13316,United Kingdom,-162.24,Return,-162.24,Registered
C548462,Discount,-1,2011-05-26,14.52,14527,United Kingdom,-14.52,Return,-14.52,Registered
C549452,Discount,-1,2011-06-17,1867.86,17940,United Kingdom,-1867.86,Return,-1867.86,Registered
C551190,Discount,-1,2011-07-15,120.00,17940,United Kingdom,-120.00,Return,-120.00,Registered
C551265,Discount,-1,2011-07-15,11.76,14527,United Kingdom,-11.76,Return,-11.76,Registered
C552423,Discount,-1,2011-07-24,11.84,14527,United Kingdom,-11.84,Return,-11.84,Registered
C552569,Discount,-240,2011-07-25,0.03,12901,United Kingdom,-7.20,Return,-7.20,Registered
C552650,Discount,-18,2011-07-25,1.45,16672,United Kingdom,-26.10,Return,-26.10,Registered
C553482,Discount,-1,2011-08-17,9.84,14527,United Kingdom,-9.84,Return,-9.84,Registered
C553665,Discount,-1,2011-08-18,15.96,14527,United Kingdom,-15.96,Return,-15.96,Registered
C553841,Discount,-48,2011-08-19,0.20,16029,United Kingdom,-9.60,Return,-9.60,Registered
