invoice,sku_code,description,qty,invoice_date,unit_price,customer_id,country,return_value,transaction_type,revenue_amount,customer_status
C536383,35004C,Set Of 3 Coloured  Flying Ducks,-1,2010-12-01,4.65,15311,United Kingdom,4.65,Return,-4.65,Registered
C537805,35004C,Set Of 3 Coloured  Flying Ducks,-1,2010-12-08,4.65,15311,United Kingdom,4.65,Return,-4.65,Registered
C538088,84625C,Blue New Baroque Candlestick Candle,-24,2010-12-09,0.85,14766,United Kingdom,20.4,Return,-20.40,Registered
C538099,72807C,Set/3 Vanilla Scented Candle In Box,-1,2010-12-09,4.25,15279,United Kingdom,4.25,Return,-4.25,Registered
C538350,85099C,Jumbo  Bag Baroque Black White,-1,2010-12-10,1.65,13798,United Kingdom,1.65,Return,-1.65,Registered
C539221,90185C,Black Diamante Expandable Ring,-4,2010-12-16,4.25,14911,EIRE,17,Return,-17.00,Registered
C539276,85135C,Red Dragonfly Helicopter,-1,2010-12-16,7.95,16503,United Kingdom,7.95,Return,-7.95,Registered
C539606,84625C,Blue New Baroque Candlestick Candle,-7,2010-12-20,0.85,16145,United Kingdom,5.95,Return,-5.95,Registered
C539640,35004C,Set Of 3 Coloured  Flying Ducks,-3,2010-12-20,4.65,15311,United Kingdom,13.95,Return,-13.95,Registered
C539719,82613C,"Metal Sign,Cupcake Single Hook",-20,2010-12-21,0.42,14643,United Kingdom,8.4,Return,-8.40,Registered
C539950,85099C,Jumbo  Bag Baroque Black White,-1,2010-12-23,1.95,13534,United Kingdom,1.95,Return,-1.95,Registered
C539956,35004C,Set Of 3 Coloured  Flying Ducks,-15,2010-12-23,4.65,12980,United Kingdom,69.75,Return,-69.75,Registered
C540417,85099C,Jumbo  Bag Baroque Black White,-30,2011-01-17,1.95,13680,United Kingdom,58.5,Return,-58.50,Registered
C540535,85023C,Pink Large Jeweled Photoframe,-1,2011-01-18,2.55,15005,United Kingdom,2.55,Return,-2.55,Registered
C540846,85034C,3 Rose Morris Boxed Candles,-2,2011-01-21,1.25,13162,United Kingdom,2.5,Return,-2.50,Registered
C541245,85036C,Rose 1 Wick Morris Boxed Candle,-12,2011-01-25,4.25,15535,United Kingdom,51,Return,-51.00,Registered
C541707,85099C,Jumbo  Bag Baroque Black White,-10,2011-02-14,1.95,18223,United Kingdom,19.5,Return,-19.50,Registered
C542366,35004C,Set Of 3 Coloured  Flying Ducks,-10,2011-02-21,4.65,13777,United Kingdom,46.5,Return,-46.50,Registered
C542638,35004C,Set Of 3 Coloured  Flying Ducks,-3,2011-02-23,5.45,13396,United Kingdom,16.35,Return,-16.35,Registered
C542866,35004C,Set Of 3 Coloured  Flying Ducks,-2,2011-02-25,4.65,15311,United Kingdom,9.3,Return,-9.30,Registered
C542991,85019C,Curious  Images Notebook Set,-12,2011-02-27,4.25,14460,United Kingdom,51,Return,-51.00,Registered
C543384,48173C,Doormat Black Flock ,-1,2011-03-15,7.95,,United Kingdom,7.95,Return,-7.95,Guest/Unknown
C543603,35004C,Set Of 3 Coloured  Flying Ducks,-1,2011-03-17,5.45,15570,United Kingdom,5.45,Return,-5.45,Registered
C543764,79191C,Retro Plastic Elephant Tray,-12,2011-03-18,0.85,17035,United Kingdom,10.2,Return,-10.20,Registered
