invoice,shipping_code,shipping_type,qty,invoice_date,unit_price,customer_id,country,shipping_direction,transaction_type,revenue_amount,customer_status
C537414,POST,Postage,-1,2010-12-06,4.41,16861.00,United Kingdom,Refund,Return,-4.41,Registered
C539063,POST,Postage,-1,2010-12-15,12.34,15107.00,United Kingdom,Refund,Return,-12.34,Registered
C539073,POST,Postage,-1,2010-12-15,3.50,12971.00,United Kingdom,Refund,Return,-3.50,Registered
C539409,POST,Postage,-1,2010-12-17,18.00,12720.00,Germany,Refund,Return,-18.00,Registered
C539712,POST,Postage,-1,2010-12-21,5.75,15602.00,United Kingdom,Refund,Return,-5.75,Registered
C540057,POST,Postage,-1,2011-01-13,40.00,12483.00,Sweden,Refund,Return,-40.00,Registered
C540164,C2,Carriage,-1,2011-01-14,50.00,14911.00,EIRE,Refund,Return,-50.00,Registered
C540266,POST,Postage,-1,2011-01-16,35.09,,United Kingdom,Refund,Return,-35.09,Guest/Unknown
C540367,POST,Postage,-3,2011-01-17,18.00,12413.00,France,Refund,Return,-54.00,Registered
C540793,POST,Postage,-1,2011-01-20,3.00,14295.00,United Kingdom,Refund,Return,-3.00,Registered
C540841,POST,Postage,-1,2011-01-21,12.99,15602.00,United Kingdom,Refund,Return,-12.99,Registered
C540937,POST,Postage,-1,2011-01-21,7.06,14748.00,United Kingdom,Refund,Return,-7.06,Registered
C542540,POST,Postage,-1,2011-02-22,4.41,,United Kingdom,Refund,Return,-4.41,Guest/Unknown
C542540,DOT,Dotcom Postage,-1,2011-02-22,3.29,,United Kingdom,Refund,Return,-3.29,Guest/Unknown
C543050,POST,Postage,-1,2011-02-28,18.00,12625.00,Germany,Refund,Return,-18.00,Registered
C543175,POST,Postage,-1,2011-02-28,18.00,12712.00,Germany,Refund,Return,-18.00,Registered
C543388,POST,Postage,-3,2011-03-15,15.00,14646.00,Netherlands,Refund,Return,-45.00,Registered
C543838,POST,Postage,-1,2011-03-20,7.06,15827.00,United Kingdom,Refund,Return,-7.06,Registered
C543992,POST,Postage,-1,2011-03-20,18.00,12583.00,France,Refund,Return,-18.00,Registered
C544117,POST,Postage,-1,2011-03-22,18.00,12727.00,France,Refund,Return,-18.00,Registered
C545740,POST,Postage,-1,2011-04-18,8.65,18257.00,United Kingdom,Refund,Return,-8.65,Registered
C546203,POST,Postage,-1,2011-04-19,4.50,16839.00,United Kingdom,Refund,Return,-4.50,Registered
C546204,POST,Postage,-1,2011-04-19,1.72,13599.00,United Kingdom,Refund,Return,-1.72,Registered
C546205,POST,Postage,-1,2011-04-19,2.84,18223.00,United Kingdom,Refund,Return,-2.84,Registered
C546363,POST,Postage,-1,2011-04-20,7.06,16912.00,United Kingdom,Refund,Return,-7.06,Registered
C547899,POST,Postage,-1,2011-05-23,55.89,,United Kingdom,Refund,Return,-55.89,Guest/Unknown
C547905,POST,Postage,-1,2011-05-23,18.66,,United Kingdom,Refund,Return,-18.66,Guest/Unknown
C547908,POST,Postage,-1,2011-05-23,38.45,,United Kingdom,Refund,Return,-38.45,Guest/Unknown
C547913,POST,Postage,-1,2011-05-23,13.39,,United Kingdom,Refund,Return,-13.39,Guest/Unknown
C547915,POST,Postage,-1,2011-05-23,29.70,,United Kingdom,Refund,Return,-29.70,Guest/Unknown
C547930,POST,Postage,-1,2011-05-23,18.00,12594.00,Italy,Refund,Return,-18.00,Registered
C548350,POST,Postage,-1,2011-05-25,2.70,15648.00,United Kingdom,Refund,Return,-2.70,Registered
C549184,POST,Postage,-1,2011-06-15,40.00,12428.00,Finland,Refund,Return,-40.00,Registered
