invoice,sku_code,description,qty,inventory_category,invoice_date,unit_price,customer_id,country,transaction_type,revenue_amount,customer_status
536569,M,Manual,1,Stock Correction,01-12-2010,1.25,16274,United Kingdom,Positive,1.25,Registered
536569,M,Manual,1,Stock Correction,01-12-2010,18.95,16274,United Kingdom,Positive,18.95,Registered
536865,M,Manual,1,Stock Correction,03-12-2010,2.55,NA,United Kingdom,Positive,2.55,Guest/Unknown
536981,M,Manual,2,Stock Correction,03-12-2010,0.85,14723,United Kingdom,Positive,1.70,Registered
537077,M,Manual,12,Stock Correction,05-12-2010,0.42,17062,United Kingdom,Positive,5.04,Registered
537137,M,Manual,36,Stock Correction,05-12-2010,0.85,16327,United Kingdom,Positive,30.60,Registered
537140,M,Manual,1,Stock Correction,05-12-2010,0.42,12748,United Kingdom,Positive,0.42,Registered
537140,M,Manual,1,Stock Correction,05-12-2010,0.85,12748,United Kingdom,Positive,0.85,Registered
537199,M,Manual,1,Stock Correction,05-12-2010,0.65,15894,United Kingdom,Positive,0.65,Registered
537208,M,Manual,4,Stock Correction,05-12-2010,0.85,15889,United Kingdom,Positive,3.40,Registered
537225,M,Manual,1,Stock Correction,05-12-2010,1.00,12748,United Kingdom,Positive,1.00,Registered
537377,M,Manual,12,Stock Correction,06-12-2010,0.19,15882,United Kingdom,Positive,2.28,Registered
537392,M,Manual,5,Stock Correction,06-12-2010,1.25,17068,United Kingdom,Positive,6.25,Registered
537396,M,Manual,1,Stock Correction,06-12-2010,35.00,17223,United Kingdom,Positive,35.00,Registered
537435,M,Manual,2,Stock Correction,06-12-2010,5.95,17920,United Kingdom,Positive,11.90,Registered
537534,M,Manual,1,Stock Correction,07-12-2010,924.59,NA,United Kingdom,Positive,924.59,Guest/Unknown
C537581,S,Samples,-1,Display Stock,07-12-2010,12.95,NA,United Kingdom,Return,-12.95,Guest/Unknown
C537581,S,Samples,-1,Display Stock,07-12-2010,52.00,NA,United Kingdom,Return,-52.00,Guest/Unknown
C537610,M,Manual,-1,Stock Correction,07-12-2010,631.31,NA,United Kingdom,Return,-631.31,Guest/Unknown
C537613,M,Manual,-1,Stock Correction,07-12-2010,313.78,NA,United Kingdom,Return,-313.78,Guest/Unknown
537800,M,Manual,12,Stock Correction,08-12-2010,0.19,12748,United Kingdom,Positive,2.28,Registered
537804,M,Manual,12,Stock Correction,08-12-2010,2.95,12748,United Kingdom,Positive,35.40,Registered
537804,M,Manual,12,Stock Correction,08-12-2010,0.19,12748,United Kingdom,Positive,2.28,Registered
C538124,M,Manual,-4,Stock Correction,09-12-2010,0.50,15329,United Kingdom,Return,-2.00,Registered
538147,M,Manual,1,Stock Correction,09-12-2010,15.00,13090,United Kingdom,Positive,15.00,Registered
C538189,M,Manual,-1,Stock Correction,10-12-2010,133.08,NA,United Kingdom,Return,-133.08,Guest/Unknown
538597,M,Manual,1,Stock Correction,13-12-2010,1.25,15555,United Kingdom,Positive,1.25,Registered
C538681,M,Manual,-1,Stock Correction,13-12-2010,316.30,NA,United Kingdom,Return,-316.30,Guest/Unknown
C538682,M,Manual,-1,Stock Correction,13-12-2010,1130.90,NA,United Kingdom,Return,-1130.90,Guest/Unknown
538707,M,Manual,2,Stock Correction,14-12-2010,0.21,17894,United Kingdom,Positive,0.42,Registered
C538806,M,Manual,-1,Stock Correction,14-12-2010,4.25,15181,United Kingdom,Return,-4.25,Registered
538807,M,Manual,4,Stock Correction,14-12-2010,0.21,17194,United Kingdom,Positive,0.84,Registered
538807,M,Manual,1,Stock Correction,14-12-2010,20.00,17194,United Kingdom,Positive,20.00,Registered
538807,M,Manual,1,Stock Correction,14-12-2010,5.00,17194,United Kingdom,Positive,5.00,Registered
539014,M,Manual,48,Stock Correction,15-12-2010,0.32,17692,United Kingdom,Positive,15.36,Registered
539056,M,Manual,1,Stock Correction,15-12-2010,1.45,16725,United Kingdom,Positive,1.45,Registered
539317,M,Manual,2,Stock Correction,16-12-2010,3.00,17392,United Kingdom,Positive,6.00,Registered
539457,M,Manual,2,Stock Correction,17-12-2010,1.00,NA,United Kingdom,Positive,2.00,Guest/Unknown
539651,M,Manual,1,Stock Correction,20-12-2010,22.00,NA,United Kingdom,Positive,22.00,Guest/Unknown
